,phi0,p,q,P[N],delta_H,delta_V,small_delta_v,safety_ratio
94,38.8,0.9018325264051137,1.2734185352766576,0.4562352701730353,0.3070753730083142,1.1004731759701607,1.3729502352016054,2.5453821588857646
95,39.0,0.9025852843498605,1.2779749539136078,0.45950602194101603,0.31021867458650876,1.1056803268001616,1.38279291879648,2.5308268560422236
96,39.2,0.9033352928633008,1.2825395274861935,0.4627943411558926,0.3133776575354119,1.1108806272623706,1.3926884681646172,2.516409482323038
97,39.4,0.9040825496607784,1.2871124410664532,0.4661004246949143,0.3165523198175153,1.1160740513349319,1.4026374757693438,2.502127881647878
98,39.6,0.9048270524660196,1.2916938804002587,0.46942447194568754,0.3197426595544788,1.1212605731662029,1.4126405416284114,2.487979940860844
99,39.8,0.9055687990111396,1.296284031944031,0.4727666848504402,0.3229486750312778,1.1264401670767688,1.4226982734472022,2.4739635886435933
100,40.0,0.9063077870366499,1.3008830829014557,0.47612726795110066,0.32617036470014416,1.1316128075611527,1.4328112867543858,2.460076794461201
101,40.2,0.907044014291465,1.3054912212606984,0.4795064284355623,0.32940772718514966,1.136778469290244,1.4429802050411416,2.446317567538742
102,40.4,0.9077774785329087,1.310108635831361,0.4829043761845923,0.3326607612860899,1.1419371271128114,1.4532056599023235,2.4326839558689497
103,40.6,0.9085081775267219,1.3147355162821757,0.4863213238201233,0.33592946598333784,1.147088756058105,1.4634882911817828,2.419174045248088
104,40.8,0.9092361090470685,1.3193720531784388,0.48975748675420683,0.3392138404419467,1.1522333313375261,1.4738287471196847,2.4057859583409185
105,41.0,0.9099612708765432,1.3240184380200468,0.49321308323927643,0.3425138840164257,1.1573708283469897,1.4842276845037647,2.392517853772238
106,41.2,0.9106836608061771,1.3286748632796304,0.49668833441935795,0.3458295962553053,1.1625012226690066,1.494685768823436,2.3793679252450293
107,41.4,0.9114032766354452,1.333341522441151,0.5001834643825152,0.3491609769060777,1.167624490075115,1.5052036744276143,2.3663344006836926
108,41.6,0.912120116172273,1.3380186100384572,0.5036987002141652,0.35250802591964137,1.1727406065276544,1.515782084685161,2.3534155414024545
109,41.8,0.9128341772330428,1.3427063216946102,0.5072342720518839,0.355870743455557,1.1778495481824531,1.5264216921498075,2.3406096412966972
110,42.0,0.9135454576426009,1.3474048541613672,0.510790413141263,0.3592491298870826,1.1829512913911382,1.537123198728248,2.327915026057569
